name,id,time,lon,lat,alt,Temp.max,Temp.min,Hum.max,Hum.min,Pres.max,Pres.min,Vient.max,Precip.diaria,Temp.act,Hum.act,Vient.dir,Vient.act,Precip.total,source
Caldes - Can Solà Gros (Girona),ESCAT1700000017455D,2026-09-09,2.81,41.86,115.0,24.4,20.8,92.0,83.0,1014.3,1012.0,6.0,0.0,21.3,83.0,0.0,2.0,0.0,xml_feed
Riudellots - Can Jordi  (Girona),ESCAT1700000017457B,2026-09-09,2.78,41.9,137.0,24.2,22.1,86.0,72.0,1014.0,1012.0,14.0,0.0,22.3,72.0,22.0,3.0,0.0,xml_feed
Celrà (Girona),ESCAT1700000017460B,2026-09-09,2.88,42.02,71.0,22.8,21.5,83.0,67.0,1010.3,1008.5,9.0,0.0,21.9,67.0,85.0,5.0,0.0,xml_feed
Bordils - Cultius MasCuní (Girona),ESCAT1700000017462B,2026-09-09,2.9,42.04,44.0,22.9,20.5,97.0,75.0,1013.9,1011.9,9.0,0.0,22.3,75.0,45.0,0.0,0.0,xml_feed
Bordils - Casa Paraire (Girona),ESCAT1700000017462C,2026-09-09,2.9,42.03,,23.2,20.9,96.0,71.0,1012.1,1010.1,2.0,,22.4,71.0,90.0,0.0,,xml_feed
Les Olives (Girona),ESCAT1700000017466A,2026-09-09,3.02,42.11,88.0,24.7,23.3,77.0,59.0,1012.5,1010.4,18.0,0.0,23.3,59.0,292.0,5.0,0.0,xml_feed
Sant Mori (Girona),ESCAT1700000017467A,2026-09-09,2.99,42.16,51.0,23.8,22.1,88.0,59.0,1015.8,1013.9,29.0,0.0,23.0,60.0,335.0,12.0,0.0,xml_feed
Sant Miquel de Fluvià (Girona),ESCAT1700000017475A,2026-09-09,2.99,42.18,28.0,23.3,20.2,95.0,65.0,1012.1,1010.0,34.0,0.0,22.7,65.0,40.0,18.0,0.0,xml_feed
Roses (Girona),ESCAT1700000017480A,2026-09-09,3.18,42.27,12.0,26.1,24.7,83.0,55.0,1012.5,1010.0,34.0,0.0,25.0,56.0,67.0,34.0,0.0,xml_feed
Valleta (Girona),ESCAT1700000017490B,2026-09-09,3.11,42.35,65.0,22.6,20.9,84.0,64.0,1016.7,1015.0,10.0,0.0,22.2,69.0,198.0,3.0,0.0,xml_feed
Llançà  (Girona),ESCAT1700000017490E,2026-09-09,3.15,42.39,104.0,25.1,23.5,60.0,50.0,1010.3,1008.2,39.0,0.0,23.5,57.0,360.0,16.0,0.0,xml_feed
Cereja (Girona),ESCAT1700000017527A,2026-09-09,1.97,42.48,1334.0,16.9,14.7,88.0,81.0,1009.4,1007.6,2.0,0.0,14.7,88.0,126.0,0.0,0.0,xml_feed
Campdevànol - Escola (Girona),ESCAT1700000017530B,2026-09-09,2.17,42.23,730.0,20.8,17.4,93.0,77.0,1016.0,1013.2,9.0,0.0,17.5,92.0,135.0,1.0,0.0,xml_feed
Campdevànol- Vista Alegre (Girona),ESCAT1700000017530C,2026-09-09,2.16,42.23,780.0,20.4,16.9,93.0,77.0,1017.1,1014.5,7.0,0.0,17.1,92.0,270.0,0.0,0.0,xml_feed
Gombrèn (Girona),ESCAT1700000017531A,2026-09-09,2.09,42.25,915.0,18.8,16.4,92.0,88.0,1011.6,1009.3,11.0,0.2,17.1,92.0,0.0,0.0,0.2,xml_feed
Queralbs - Coma de Vaca (Girona),ESCAT1700000017534E,2026-09-09,2.22,42.39,2010.0,13.6,11.4,99.0,72.0,1024.8,1022.0,27.0,0.0,11.5,99.0,225.0,12.0,0.0,xml_feed
Ribes de Freser - Serrat (Girona),ESCAT1700000017534F,2026-09-09,2.18,42.32,,16.2,14.8,98.0,95.0,,,11.0,,14.8,98.0,180.0,0.0,,xml_feed
Planoles - Càmping (Girona),ESCAT1700000017535C,2026-09-09,2.1,42.32,1260.0,16.2,14.4,96.0,93.0,,,7.0,0.0,14.6,94.0,45.0,0.0,0.0,xml_feed
La Molina (Girona),ESCAT1700000017537A,2026-09-09,1.94,42.34,1650.0,18.2,14.6,84.0,68.0,,,28.0,0.7,14.8,82.0,112.0,1.0,0.7,xml_feed
Das (Girona),ESCAT1700000017538A,2026-09-09,1.87,42.36,1201.0,16.9,15.3,87.0,83.0,1018.5,1017.0,0.0,0.4,15.6,85.0,143.0,0.0,0.4,xml_feed
Queixans - La Cerdanya (Girona),ESCAT1700000017538B,2026-09-09,1.92,42.4,1124.0,16.9,15.8,91.0,82.0,1011.7,1010.2,21.0,1.0,15.8,83.0,117.0,5.0,1.0,xml_feed
