id,bolets_id,name,lon,lat,elev,n_days,coverage,miss_precip,source_mode,xema_style_id,xema_style_lon,xema_style_lat,xema_style_elev,xema_style_flag
ESCAT1700000017220B,MC_ESCAT1700000017220B,Sant Feliu de Guíxols (Girona),3.03,41.79,57,1,1,0,smoke,MC_ESCAT1700000017220B,3.03,41.79,57,1
ESCAT1700000017230C,MC_ESCAT1700000017230C,Palamós - Sant Joan (Girona),3.12,41.86,30,1,1,0,smoke,MC_ESCAT1700000017230C,3.12,41.86,30,1
ESCAT1700000017230D,MC_ESCAT1700000017230D,Palamós - La Fosca (Girona),3.14,41.86,20,1,1,0,smoke,MC_ESCAT1700000017230D,3.14,41.86,20,1
ESCAT1700000017230E,MC_ESCAT1700000017230E,Palamós (Girona),3.13,41.84,17,1,1,0,smoke,MC_ESCAT1700000017230E,3.13,41.84,17,1
ESCAT1700000017240C,MC_ESCAT1700000017240C,Llagostera - Panedes (Girona),2.92,41.84,140,1,1,0,smoke,MC_ESCAT1700000017240C,2.92,41.84,140,1
ESCAT1700000017240D,MC_ESCAT1700000017240D,Cadiretes - Selva Brava (Girona),2.92,41.77,200,1,1,0,smoke,MC_ESCAT1700000017240D,2.92,41.77,200,1
ESCAT1700000017240F,MC_ESCAT1700000017240F,Llagostera (Girona),2.9,41.83,131,1,1,0,smoke,MC_ESCAT1700000017240F,2.9,41.83,131,1
ESCAT1700000017240G,MC_ESCAT1700000017240G,Llagostera - Municipal (Girona),2.88,41.83,120,1,1,0,smoke,MC_ESCAT1700000017240G,2.88,41.83,120,1
ESCAT1700000017240H,MC_ESCAT1700000017240H,Llagostera - Cadiretes (Girona),2.93,41.76,505,1,1,0,smoke,MC_ESCAT1700000017240H,2.93,41.76,505,1
ESCAT1700000017250A,MC_ESCAT1700000017250A,Platja d'Aro - ISCB (Girona),3.06,41.82,65,1,1,0,smoke,MC_ESCAT1700000017250A,3.06,41.82,65,1
ESCAT1700000017251B,MC_ESCAT1700000017251B,Calonge (Girona),3.08,41.86,16,1,1,0,smoke,MC_ESCAT1700000017251B,3.08,41.86,16,1
ESCAT1700000017252A,MC_ESCAT1700000017252A,Calonge i Sant Antoni (Girona),3.1,41.87,33,1,1,0,smoke,MC_ESCAT1700000017252A,3.1,41.87,33,1
ESCAT1700000017257C,MC_ESCAT1700000017257C,Torroella de Montgrí-Ajt. (Girona),3.13,42.04,29,1,1,0,smoke,MC_ESCAT1700000017257C,3.13,42.04,29,1
ESCAT1700000017258C,MC_ESCAT1700000017258C,L'Estartit - Roca Maura (Girona),3.19,42.06,221,1,1,0,smoke,MC_ESCAT1700000017258C,3.19,42.06,221,1
ESCAT1700000017310A,MC_ESCAT1700000017310A,Lloret de Mar - Platja (Girona),2.85,41.7,4,1,1,0,smoke,MC_ESCAT1700000017310A,2.85,41.7,4,1
ESCAT1700000017310B,MC_ESCAT1700000017310B,Lloret de Mar-Fenals (Girona),2.82,41.7,20,1,1,0,smoke,MC_ESCAT1700000017310B,2.82,41.7,20,1
ESCAT1700000017400A,MC_ESCAT1700000017400A,Breda (Girona),2.56,41.75,165,1,1,0,smoke,MC_ESCAT1700000017400A,2.56,41.75,165,1
ESCAT1700000017405A,MC_ESCAT1700000017405A,Espinelves (Girona),2.42,41.87,750,1,1,0,smoke,MC_ESCAT1700000017405A,2.42,41.87,750,1
ESCAT1700000017410B,MC_ESCAT1700000017410B,Sils - MYC5 (Girona),2.77,41.8,88,1,1,0,smoke,MC_ESCAT1700000017410B,2.77,41.8,88,1
ESCAT1700000017411A,MC_ESCAT1700000017411A,Vidreres (Girona),2.78,41.79,98,1,1,0,smoke,MC_ESCAT1700000017411A,2.78,41.79,98,1
ESCAT1700000017421A,MC_ESCAT1700000017421A,Riudarenes-Cultius Brugat (Girona),2.71,41.84,96,1,1,0,smoke,MC_ESCAT1700000017421A,2.71,41.84,96,1
ESCAT1700000017451A,MC_ESCAT1700000017451A,Grions - Can Puigmari (Girona),2.61,41.76,143,1,1,0,smoke,MC_ESCAT1700000017451A,2.61,41.76,143,1
ESCAT1700000017451B,MC_ESCAT1700000017451B,Riells - Cultius Ponç (Girona),2.57,41.73,80,1,1,0,smoke,MC_ESCAT1700000017451B,2.57,41.73,80,1
ESCAT1700000017451C,MC_ESCAT1700000017451C,Grions (Girona),2.62,41.76,83,1,1,0,smoke,MC_ESCAT1700000017451C,2.62,41.76,83,1
ESCAT1700000017452A,MC_ESCAT1700000017452A,Massanes - Barri Marques (Girona),2.65,41.75,58,1,1,0,smoke,MC_ESCAT1700000017452A,2.65,41.75,58,1
ESCAT1700000017455A,MC_ESCAT1700000017455A,Caldes - Can Carbonell (Girona),2.85,41.8,165,1,1,0,smoke,MC_ESCAT1700000017455A,2.85,41.8,165,1
ESCAT1700000017455B,MC_ESCAT1700000017455B,Caldes - Can Gimferrer (Girona),2.77,41.83,100,1,1,0,smoke,MC_ESCAT1700000017455B,2.77,41.83,100,1
ESCAT1700000017455C,MC_ESCAT1700000017455C,Caldes - Mas Carbonell (Girona),2.86,41.79,175,1,1,0,smoke,MC_ESCAT1700000017455C,2.86,41.79,175,1
ESCAT1700000017455D,MC_ESCAT1700000017455D,Caldes - Can Solà Gros (Girona),2.81,41.86,115,1,1,0,smoke,MC_ESCAT1700000017455D,2.81,41.86,115,1
ESCAT1700000017457B,MC_ESCAT1700000017457B,Riudellots - Can Jordi  (Girona),2.78,41.9,137,1,1,0,smoke,MC_ESCAT1700000017457B,2.78,41.9,137,1
ESCAT1700000017460B,MC_ESCAT1700000017460B,Celrà (Girona),2.88,42.02,71,1,1,0,smoke,MC_ESCAT1700000017460B,2.88,42.02,71,1
ESCAT1700000017462B,MC_ESCAT1700000017462B,Bordils - Cultius MasCuní (Girona),2.9,42.04,44,1,1,0,smoke,MC_ESCAT1700000017462B,2.9,42.04,44,1
ESCAT1700000017466A,MC_ESCAT1700000017466A,Les Olives (Girona),3.02,42.11,88,1,1,0,smoke,MC_ESCAT1700000017466A,3.02,42.11,88,1
ESCAT1700000017467A,MC_ESCAT1700000017467A,Sant Mori (Girona),2.99,42.16,51,1,1,0,smoke,MC_ESCAT1700000017467A,2.99,42.16,51,1
ESCAT1700000017475A,MC_ESCAT1700000017475A,Sant Miquel de Fluvià (Girona),2.99,42.18,28,1,1,0,smoke,MC_ESCAT1700000017475A,2.99,42.18,28,1
ESCAT1700000017480A,MC_ESCAT1700000017480A,Roses (Girona),3.18,42.27,12,1,1,0,smoke,MC_ESCAT1700000017480A,3.18,42.27,12,1
ESCAT1700000017482A,MC_ESCAT1700000017482A,Medinyà (Girona),2.86,42.05,52,1,1,0,smoke,MC_ESCAT1700000017482A,2.86,42.05,52,1
ESCAT1700000017490B,MC_ESCAT1700000017490B,Valleta (Girona),3.11,42.35,65,1,1,0,smoke,MC_ESCAT1700000017490B,3.11,42.35,65,1
ESCAT1700000017490E,MC_ESCAT1700000017490E,Llançà  (Girona),3.15,42.39,104,1,1,0,smoke,MC_ESCAT1700000017490E,3.15,42.39,104,1
ESCAT1700000017527A,MC_ESCAT1700000017527A,Cereja (Girona),1.97,42.48,1334,1,1,0,smoke,MC_ESCAT1700000017527A,1.97,42.48,1334,1
ESCAT1700000017530B,MC_ESCAT1700000017530B,Campdevànol - Escola (Girona),2.17,42.23,730,1,1,0,smoke,MC_ESCAT1700000017530B,2.17,42.23,730,1
ESCAT1700000017530C,MC_ESCAT1700000017530C,Campdevànol- Vista Alegre (Girona),2.16,42.23,780,1,1,0,smoke,MC_ESCAT1700000017530C,2.16,42.23,780,1
ESCAT1700000017531A,MC_ESCAT1700000017531A,Gombrèn (Girona),2.09,42.25,915,1,1,0,smoke,MC_ESCAT1700000017531A,2.09,42.25,915,1
ESCAT1700000017534E,MC_ESCAT1700000017534E,Queralbs - Coma de Vaca (Girona),2.22,42.39,2010,1,1,0,smoke,MC_ESCAT1700000017534E,2.22,42.39,2010,1
ESCAT1700000017535C,MC_ESCAT1700000017535C,Planoles - Càmping (Girona),2.1,42.32,1260,1,1,0,smoke,MC_ESCAT1700000017535C,2.1,42.32,1260,1
ESCAT1700000017537A,MC_ESCAT1700000017537A,La Molina (Girona),1.94,42.34,1650,1,1,0,smoke,MC_ESCAT1700000017537A,1.94,42.34,1650,1
ESCAT1700000017538A,MC_ESCAT1700000017538A,Das (Girona),1.87,42.36,1201,1,1,0,smoke,MC_ESCAT1700000017538A,1.87,42.36,1201,1
ESCAT1700000017538B,MC_ESCAT1700000017538B,Queixans - La Cerdanya (Girona),1.92,42.4,1124,1,1,0,smoke,MC_ESCAT1700000017538B,1.92,42.4,1124,1
ESCAT1700000017539A,MC_ESCAT1700000017539A,Bolvir (Girona),1.89,42.42,1145,1,1,0,smoke,MC_ESCAT1700000017539A,1.89,42.42,1145,1
ESCAT1700000017539B,MC_ESCAT1700000017539B,Ger (Girona),1.85,42.41,1134,1,1,0,smoke,MC_ESCAT1700000017539B,1.85,42.41,1134,1
ESCAT1700000017600A,MC_ESCAT1700000017600A,Figueres - Nord (Girona),2.96,42.27,45,1,1,0,smoke,MC_ESCAT1700000017600A,2.96,42.27,45,1
ESCAT1700000017600B,MC_ESCAT1700000017600B,Figueres - La Cate (Girona),2.96,42.27,65,1,1,0,smoke,MC_ESCAT1700000017600B,2.96,42.27,65,1
ESCAT1700000017700A,MC_ESCAT1700000017700A,La Jonquera (Girona),2.87,42.42,112,1,1,0,smoke,MC_ESCAT1700000017700A,2.87,42.42,112,1
ESCAT1700000017700B,MC_ESCAT1700000017700B,La Jonquera (centre Vila) (Girona),2.87,42.42,112,1,1,0,smoke,MC_ESCAT1700000017700B,2.87,42.42,112,1
